amount,sender_account_age,receiver_account_age
1609.06,2004,2355
86.79,3099,1422
35.27,1390,2960
2.15,505,1275
106.34,2221,3502
417.84,2,3146
887.91,3191,1832
22.97,1213,2162
29.54,2442,441
7.37,1697,428
4.43,805,17
130.93,2949,1580
19.54,327,1927
135.81,3284,1167
23.41,2595,1870
33.35,3111,3126
8.75,3301,358
34.23,1897,2765
0.99,1054,2275
10.88,846,28
14.49,165,1279
336.68,3086,2545
181.33,477,2446
18.7,1300,901
13.67,1299,1804
157.15,2623,2024
771.3,2829,1225
12.4,2839,656
173.97,1086,2283
20.51,1154,3408
45.61,1984,893
101.56,417,2884
15.78,1211,3129
6.62,2622,2025
939.02,3040,2878
127.95373050444312,22,1795
96.15,799,1560
190.51,2211,1273
17.61,3152,2078
11.15,2921,616
186.19,1033,559
65.09,3092,3516
115.54,1508,1013
94.5,909,2680
220.29,547,3130
68.98,555,395
281.45466295496857,25,2029
89.52,2459,3579
19.87,1020,820
94.52,671,3248
196.36,352,2581
5.96,2525,2505
13.98,310,2641
5.18,2712,621
12.13,1981,1367
4.22,3424,3490
2.99,1671,3253
10.64,1986,2816
24.5,1374,208
10.3,2082,842
166.86,3034,1537
287.0,905,3518
90.61,1187,1810
195.01,3485,485
8.44,1376,822
23.69,3105,1807
62.52,964,30
64.51,7,1201
91.91,1027,1515
98.67,2981,3364
4.98,3098,194
24.12,2002,3332
9.49,3158,3374
14.29,628,2326
49.66,920,1816
9.97,696,938
45.61,1119,709
165.02,331,2832
19.11,3073,1572
17.1,2582,2999
29.7,1077,1233
43.35,3075,48
26.15,286,3132
27.96,705,621
16.45,2784,2347
10.71,2789,1879
362.78,3386,1336
63.8,876,3156
39.28,2148,1401
121.63,3489,757
7.12,2110,1819
3.61,3468,470
13.0,386,370
0.72,946,2342
11.36,3338,1382
69.37,1462,1277
2.23,2810,1542
1.53,1329,1273
7.86,2414,3350
19.92,2009,636
38.51,2337,2788
315.17,2083,2014
1.32,1303,450
279.16,1243,905
61.34,2361,3286
12.58,1031,1924
8.28,1838,757
0.9,194,898
47.62,2835,1628
30.23,1738,98
45.5,3407,3011
70.76,2372,1087
1.77,1363,2769
25.45,2201,41
5.36,2750,2991
1.71,438,1545
37.82,2693,1882
16.72,164,188
7.32,451,3179
331.28,3208,3521
56.43431941035066,21,1362
23.81,3156,478
5287.235917127024,17,2015
159.63,1377,2743
24.53,2809,666
32.5,3503,1249
37.17,1438,2116
3825.256213078269,9,421
16.82,1303,1935
552.2262841164467,13,1382
19.2,2171,2839
21.86,1269,641
29.6,1700,2462
0.93,136,1796
11.84,1333,3541
48.9,2212,1864
