amount,sender_account_age,receiver_account_age,is_fraud,sender_account_id,receiver_account_id
239.38,3099,3075,0,1858,4776
6.04,2603,1432,0,4507,2179
448.29,2240,2567,0,1954,1627
4.98,1958,1000,0,2211,2349
18.68,1966,1377,0,4726,3906
9.05,246,972,0,1458,4977
5.73,1846,231,0,3422,1107
1.77,2886,654,0,2275,3007
42.15,2349,136,0,3440,4284
494.0887768904347,12,1614,1,4649,3670
4.3,3523,1581,0,3846,1934
89.52,2459,3579,0,4408,2799
275.6,1057,1495,0,1207,1434
7.17,1760,2912,0,2629,3980
15.15,1403,1715,0,2107,2192
6.83,886,703,0,4852,3013
36.18,2125,620,0,3079,3761
45.63,200,3219,0,2159,1610
31.53,2868,543,0,1323,3924
275.86,3555,1819,0,1918,1564
20.53,1027,403,0,1316,2491
13.7,2219,607,0,4662,4904
45.4,2028,2324,0,4766,3837
186.47,1723,3442,0,1788,4903
25.02,950,2990,0,2220,1898
57.58,3363,1414,0,4708,1816
13.52,1211,1255,0,4531,4911
39.65,893,76,0,2806,3648
6.96,685,2239,0,1724,3698
130.43,1587,2857,0,2335,1378
595.9,2825,2586,0,1046,3892
40.49,2171,1777,0,1407,2443
114.38,3235,2508,0,3125,1986
17.51,2910,945,0,4350,4525
24.51,684,3437,0,2060,4201
62.61,2310,1646,0,3168,4091
13.82,2712,2021,0,4945,3014
35.87,2045,1498,0,2214,4046
21.86,1269,641,0,1631,4078
119.25,1393,1213,0,1565,2703
170.04,1631,1298,0,1789,1688
11.56,2202,2292,0,4589,4265
305.23,3303,2115,0,1642,3995
94.66,1069,2892,0,1642,1528
3.83,2822,411,0,4107,2942
105.41,722,1870,0,2063,4403
30.17,1346,958,0,2454,2270
2.09,2208,1801,0,3465,3640
14.5,113,629,0,2668,4584
1.0,2341,2334,0,3746,1148
13.74,731,2854,0,3408,4453
9.86,785,718,0,4690,1925
10.18,2173,2116,0,3390,4293
61.94,1677,3585,0,1860,4098
6.08,3430,2714,0,4834,1117
37.86,3217,465,0,4344,2733
202.02,1109,797,0,3774,4846
24.81,3144,2743,0,1962,4902
53.48,1973,2621,0,3838,4969
166.65,2866,1446,0,3924,1848
2.59,1797,2939,0,3542,1841
15.28,2892,1565,0,4472,2018
129.89,2587,1233,0,2828,3331
669.7639854327512,1,440,1,4414,1246
12.52,831,1548,0,1149,1394
70.62,1497,1895,0,3643,3614
103.04,1448,3618,0,4305,1783
1302.89,2353,196,0,4956,2537
13.36,1679,1586,0,3194,1712
210.7,422,3293,0,1987,2712
30.2,947,3033,0,1763,1129
35.97,645,949,0,4557,3415
16.85,1740,2746,0,1078,4442
34.3,1919,1172,0,1060,4734
12.32,2417,1815,0,4080,3416
104.37,2814,3337,0,1894,1927
8.14,2558,2855,0,3107,4394
114.09,2836,1651,0,3183,2076
4.91,1511,273,0,1511,4597
16.59,3616,2808,0,4248,4155
1155.48,1839,692,0,4280,1054
13.65,1595,1775,0,1906,1040
111.02,2620,3251,0,4906,2345
71.22,3422,453,0,4759,3962
256.75,329,2452,0,4038,4013
0.55,1308,2726,0,4683,4956
2.86,502,3369,0,2948,2944
7.59,1814,957,0,3907,1952
383.26,3468,1924,0,4085,1940
0.2,2211,2194,0,3644,2988
36.51,2470,2199,0,1823,2274
6.8,653,2936,0,2483,3951
16.14,572,157,0,2057,1615
255.49,213,449,0,3962,4771
1.56,1698,878,0,2775,1401
70.85,1348,2669,0,4622,1428
31.82,632,3015,0,4238,2491
2.31,3086,712,0,4197,4934
25.58,1979,2137,0,1867,2693
51.59,140,2299,0,1675,1009
69.47,1749,2561,0,3834,2284
6.6,658,2387,0,4763,3022
16.76,1580,124,0,1974,1144
56.99,1133,2034,0,3624,3864
23.2,117,652,0,3077,4533
7.69,404,2112,0,4035,4110
33.26,3494,500,0,4250,3376
4.31,2881,941,0,4090,4964
4.87,1791,1722,0,4579,4227
820.3476332544315,24,1882,1,3877,2337
974.54,280,2768,0,4118,3359
97.3,2503,2504,0,2496,2391
40.46,2823,1664,0,4166,3518
19.12,897,3476,0,4238,3569
2.2,3605,322,0,4844,4485
87.85,1932,1480,0,3859,4145
21.23,2360,1860,0,1850,4064
18.11,2039,1224,0,3972,1143
170.68,586,1599,0,3780,1476
3.58,3027,3298,0,1634,4345
3.49,1906,3096,0,1146,4482
40.78,1960,461,0,2313,1615
3.75,20,256,0,2513,2338
33.69,352,957,0,3709,4712
65.69,2413,1642,0,3837,1262
57.55,1352,2360,0,4119,4150
190.38,3168,941,0,1671,4247
9.0,2619,2314,0,3638,1353
3.34,3364,186,0,1788,2914
85.4,2897,3225,0,2575,4685
130.78,3182,100,0,3409,4637
1.94,668,2474,0,4959,1301
4.84,2292,1897,0,2403,2109
57.01,2257,37,0,4408,4612
6.66,12,1315,0,3467,3211
459.04,343,1597,0,1487,1014
6.38,2401,2784,0,4649,4435
22.71,3295,2554,0,4360,2215
14.04,1306,2380,0,1977,1373
222.09,665,1832,0,2311,2917
230.55,406,756,0,4449,4641
67.45348066503624,25,634,1,1863,4767
92.28,2858,2262,0,2058,2872
13.01,1905,1726,0,2790,4828
2.82,2780,2878,0,4469,4131
45.67,1525,156,0,1340,2278
236.87,2162,1524,0,3237,2800
44.99,1049,2850,0,4758,3786
1816.65,2670,1463,0,2130,3069
264.8,1489,2699,0,1360,1981
56.97,1512,1409,0,2261,4276
69.69,3086,520,0,2488,1643
64.2,3582,2361,0,2461,2583
7.38,3575,3041,0,3017,2060
6.99,1066,852,0,3087,2725
71.3,3174,1481,0,4519,3739
42.66,1002,1563,0,3931,2464
35.61,1037,1689,0,4132,2106
156.31,2474,2063,0,3159,4256
6.73,81,1348,0,1414,1437
4.36,2613,2483,0,2461,1100
37.63,2191,3539,0,1160,3258
127.56,257,899,0,2003,3482
40.2,410,1350,0,3103,3238
3.76,3088,2269,0,4499,3579
3.45,1565,1838,0,1586,3071
51.87,2603,2654,0,2811,2517
49.93,2815,1279,0,2974,4781
5.07,1204,2946,0,4956,1948
88.88,2662,3528,0,4132,2672
53.35,3049,518,0,4341,1288
10.6,1600,1493,0,4964,1112
50.53,3610,480,0,3380,4114
44.72,1690,3428,0,2537,1908
459.08,1382,263,0,1676,3777
14.83,280,618,0,4192,4434
101.03,254,26,0,2564,4649
68.83,329,2297,0,2862,3180
2.74,53,1105,0,1611,3225
14.11,1644,3502,0,2198,4595
17.77,712,1835,0,2844,3814
12.98,1791,2688,0,2624,2652
199.11,2699,1404,0,1997,2623
28.32,3410,1950,0,4505,1873
602.87,611,1689,0,2051,3474
69.03,1189,629,0,2910,1958
270.67,1365,2197,0,3619,3419
10.8,1110,2895,0,3954,3619
165.55,2292,3057,0,4324,3224
10.17,1304,1956,0,3914,2898
8.99,2871,2294,0,2445,4234
155.06,218,626,0,3902,1454
85.38,746,2880,0,4327,3485
21.67,2550,2464,0,4965,4162
239.77,2226,2186,0,1158,1956
11.99,2595,1342,0,3145,1211
146.41,3234,702,0,1415,2204
7.67,552,3107,0,3377,4652
32.08,3461,654,0,4926,2203
5.31,1874,1593,0,2321,3635
194.84,453,1181,0,4530,4903
52.35,109,107,0,3215,1461
71.15,3130,2335,0,3568,2225
9.78,705,2121,0,4616,3670
486.99,1285,1307,0,2687,1477
55.67,3022,1618,0,1935,3295
2.02,3538,201,0,2099,3805
1.91,637,2055,0,3845,2742
383.79,885,1619,0,4331,1146
21.77,903,2229,0,2260,3867
34.44,2456,2087,0,2050,4028
180.46,1954,2632,0,1284,4766
13.46,531,2095,0,4725,2313
10.73,54,2020,0,1653,2797
80.1,2282,1500,0,2421,2562
2.51,2836,280,0,2021,3285
98.37,2934,2600,0,1087,1698
135.62,2686,85,0,2863,2081
16.02,3587,799,0,4213,2988
112.75,1994,1340,0,2593,4396
46.33,3463,410,0,4676,4818
24.43,3541,1886,0,1509,3106
48.64,2356,1970,0,3903,2987
60.45,1792,336,0,1208,1396
58.51,1868,1409,0,4837,2681
0.75,2847,1804,0,3335,4947
28.96,1997,2357,0,4295,3619
2.11,1107,1006,0,2378,1556
20.35,632,994,0,2123,4813
45.79,1480,72,0,2815,3583
4.21,264,3370,0,4121,3717
58.65,3152,704,0,4546,2835
17.15,963,2905,0,3622,1341
32.87,782,3492,0,1319,2476
130.86,1765,2996,0,3858,3412
37.29,2302,3631,0,2494,2841
15.92,1064,3628,0,4626,2389
10.19,1736,2583,0,1026,1883
16.93,600,2018,0,3121,4896
18.15,1959,3443,0,3019,4983
10.33,2433,2433,0,3164,3231
99.8,1740,1591,0,4189,4642
43.34,2334,427,0,3306,1780
5.15,1198,233,0,2058,3716
121.13,1553,748,0,3050,2103
119.39,3120,2728,0,2073,2271
5.54,2856,2498,0,4255,3355
12.06,3182,691,0,1261,1329
1284.3757405965282,8,3362,1,3133,4893
2.95,465,2829,0,3790,4803
83.53,3521,1714,0,3191,3773
184.21,597,111,0,1610,3784
145.18,1469,3282,0,3748,2673
35.44,2551,3179,0,2829,4468
165.58,1730,2267,0,2975,4802
11.48,96,2636,0,2268,1327
13.1,1812,2012,0,1858,2588
11.15,2208,3212,0,1598,3951
133.35,1415,3124,0,4302,3307
84.87,1332,2833,0,3032,2307
80.87,3125,441,0,2686,2792
43.99,2723,2822,0,4302,1813
19.08,393,982,0,4511,4603
26.73,594,2024,0,1809,1343
54.55,2639,3104,0,4345,2350
24.64,1059,3094,0,3259,1098
12.67,1879,3405,0,2548,2813
17.92,2842,913,0,3111,1487
5.95,1601,1848,0,3103,2694
4.76,1303,1398,0,3123,3255
49.79,3595,3335,0,3342,2140
11.7,3332,2006,0,3737,4655
103.76,1453,816,0,3873,4165
58.45,1429,1705,0,1812,4895
90.63,617,3418,0,1096,4868
199.67,21,919,0,2334,4317
48.78,2461,449,0,3451,1731
5.71,1553,691,0,2324,1714
50.56,1482,3302,0,1513,1503
64.42,984,2523,0,4390,4589
13.72,81,721,0,2817,2874
113.4,1981,2442,0,1589,1806
6.39,2267,1962,0,1888,1795
26.42,3610,628,0,3044,3965
178.92,898,3572,0,1323,2843
170.88,591,296,0,1287,3584
3.84,3018,320,0,4451,4033
36.19,776,2096,0,1962,3645
4.82,2189,1614,0,1793,1551
2.61,519,1045,0,3554,2086
2.3,887,32,0,2695,2358
112.93,3502,790,0,1529,3917
41.76,3518,2854,0,1668,1022
51.01,612,2498,0,1233,2980
31.61,3166,3480,0,3937,3626
39.16,2995,3349,0,2298,3070
42.37,2884,3352,0,2915,3660
20.82,2154,75,0,1068,1099
1.91,3343,104,0,2736,3842
12.09,3578,1902,0,1835,3618
58.66,1479,1594,0,4341,1018
4.67,2550,3548,0,4858,3540
69.14,316,1163,0,3043,4405
0.64,947,1951,0,1547,3771
24.5,1158,2206,0,2380,4100
455.48,1210,2750,0,1744,1616
14.46,3289,3482,0,1577,1967
172.17,1523,725,0,4929,2694
784.76,2925,1527,0,4086,2548
94.96,319,817,0,4564,4753
4.77,1926,1867,0,2426,3968
132.3,340,1962,0,1279,2034
168.04,3465,2748,0,4252,1408
128.98,2882,3530,0,2230,2280
1.83,2718,1568,0,1122,3464
146.2,3314,961,0,3961,4284
50.0,327,2442,0,3929,1165
4.53,1050,3114,0,4431,4996
72.96,2952,1154,0,2745,4053
21.76,2704,60,0,1548,4585
200.99,2331,699,0,4661,2379
